1993-140|A|Black-bellied Whistling-Duck||7/12/93 0:00:00|8/20/93 0:00:00|N. end Salton Sea|RIV||
1993-141|A|Black Vulture||9/19/93 0:00:00|2/9/94 0:00:00|Arcata Bottoms|HUM||(ph.)
1993-142|R|Mississippi Kite||6/5/83 0:00:00||Tijuana R. valley|SD||
1993-176|A|Bar-tailed Godwit||10/12/93 0:00:00||Pt. Reyes NS (Drakes)|MRN||
1993-186|R|Common Grackle||9/29/93 0:00:00||Near Bishop|INY||
1993-196|M|Crested Caracara||12/14/93 0:00:00||Vic. Westmorland|IMP||
1994-002|B|Yellow-billed Loon||12/7/93 0:00:00|12/28/93 0:00:00|Pacific Grove|MTY||
1994-004|O|Trumpeter Swan|2|11/30/93 0:00:00|12/26/93 0:00:00|Modoc NWR|MOD||
1994-025|A|Mottled Petrel||4/1/93 0:00:00||30°51'N, 121°35'W|SD||
1994-030|I|Red-tailed Tropicbird|2|10/15/93 0:00:00||ca. 32°20'N, 120°20'W|||
1994-043|A|Scarlet Tanager||10/9/93 0:00:00||ca. 32°20'N, 118°30'W|SD||
1994-045|A|Painted Bunting||8/24/93 0:00:00||Tijuana R. valley|SD||
1994-059|R|Masked Booby||1/11/93 0:00:00||San Miguel I.|SBA||
1994-061|R|Greater Pewee||9/19/93 0:00:00|11/7/93 0:00:00|San Diego|SD||Returning bird
1994-068|R|Worm-eating Warbler||10/21/83 0:00:00||Santa Clara R. estuary|VEN||
1994-069|R|Common Grackle||1/24/94 0:00:00|1/26/94 0:00:00|Capitola|SCZ||
1994-072|X|Ruddy Ground-Dove||11/26/92 0:00:00||22 km N of Blythe|RIV||(#LACM)
1994-074|A|Whooper Swan||2/26/94 0:00:00|2/27/94 0:00:00|White L., Lower Klamath NWR|SIS||Same as previous years
1994-088|X|Ruddy Ground-Dove|3|5/14/94 0:00:00|5/29/94 0:00:00|Furnace Creek|INY||
1994-089|I|Kentucky Warbler||5/24/94 0:00:00||Santa Barbara|SBA||
1994-096|A|Mississippi Kite||5/26/94 0:00:00||near Big Pine|INY||
1994-100|A|Scarlet Tanager||5/23/94 0:00:00|5/27/94 0:00:00|Banning Park, Carson|LA||Female
1994-103|X|Red-footed Booby||7/10/96 0:00:00||5.5 mi S Soquel Pt.|SCZ||(ph.)
